aaa;American Automobile Association, Inc.;generic
aarp;AARP;generic
abarth;Fiat Chrysler Automobiles N.V.;generic
abb;ABB Ltd;generic
abbott;Abbott Laboratories, Inc.;generic
abbvie;AbbVie Inc.;generic
abc;Disney Enterprises, Inc.;generic
able;Able Inc.;generic
abogado;Top Level Domain Holdings Limited;generic
abudhabi;Abu Dhabi Systems and Information Centre;generic
academy;Binky Moon, LLC;generic
accenture;Accenture plc;generic
accountant;dot Accountant Limited;generic
accountants;Binky Moon, LLC;generic
aco;ACO Severin Ahlmann GmbH & Co. KG;generic
active;Active Network, LLC;generic
actor;United TLD Holdco Ltd.;generic
adac;Allgemeiner Deutscher Automobil-Club e.V. (ADAC);generic
ads;Charleston Road Registry Inc.;generic
adult;ICM Registry AD LLC;generic
aeg;Aktiebolaget Electrolux;generic
aetna;Aetna Life Insurance Company;generic
afamilycompany;Johnson Shareholdings, Inc.;generic
afl;Australian Football League;generic
africa;ZA Central Registry NPC trading as Registry.Africa;generic
agakhan;Fondation Aga Khan (Aga Khan Foundation);generic
agency;Binky Moon, LLC;generic
aig;American International Group, Inc.;generic
aigo;aigo Digital Technology Co,Ltd.;generic
airbus;Airbus S.A.S.;generic
airforce;United TLD Holdco Ltd.;generic
airtel;Bharti Airtel Limited;generic
akdn;Fondation Aga Khan (Aga Khan Foundation);generic
alfaromeo;Fiat Chrysler Automobiles N.V.;generic
alibaba;Alibaba Group Holding Limited;generic
alipay;Alibaba Group Holding Limited;generic
allfinanz;Allfinanz Deutsche Vermögensberatung Aktiengesellschaft;generic
allstate;Allstate Fire and Casualty Insurance Company;generic
ally;Ally Financial Inc.;generic
alsace;REGION GRAND EST;generic
alstom;ALSTOM;generic
americanexpress;American Express Travel Related Services Company, Inc.;generic
americanfamily;AmFam, Inc.;generic
amex;American Express Travel Related Services Company, Inc.;generic
amfam;AmFam, Inc.;generic
amica;Amica Mutual Insurance Company;generic
amsterdam;Gemeente Amsterdam;generic
analytics;Campus IP LLC;generic
android;Charleston Road Registry Inc.;generic
anquan;QIHOO 360 TECHNOLOGY CO. LTD.;generic
anz;Australia and New Zealand Banking Group Limited;generic
aol;OATH Inc.;generic
apartments;Binky Moon, LLC;generic
app;Charleston Road Registry Inc.;generic
apple;Apple Inc.;generic
aquarelle;Aquarelle.com;generic
arab;League of Arab States;generic
aramco;Aramco Services Company;generic
archi;STARTING DOT LIMITED;generic
army;United TLD Holdco Ltd.;generic
art;UK Creative Ideas Limited;generic
arte;Association Relative à la Télévision Européenne G.E.I.E.;generic
asda;Wal-Mart Stores, Inc.;generic
associates;Binky Moon, LLC;generic
athleta;The Gap, Inc.;generic
attorney;United TLD Holdco, Ltd;generic
auction;United TLD HoldCo, Ltd.;generic
audi;AUDI Aktiengesellschaft;generic
audible;Amazon Registry Services, Inc.;generic
audio;Uniregistry, Corp.;generic
auspost;Australian Postal Corporation;generic
author;Amazon Registry Services, Inc.;generic
auto;Cars Registry Limited;generic
autos;DERAutos, LLC;generic
avianca;Aerovias del Continente Americano S.A. Avianca;generic
aws;Amazon Registry Services, Inc.;generic
axa;AXA SA;generic
azure;Microsoft Corporation;generic
baby;Johnson & Johnson Services, Inc.;generic
baidu;Baidu, Inc.;generic
banamex;Citigroup Inc.;generic
bananarepublic;The Gap, Inc.;generic
band;United TLD Holdco, Ltd;generic
bank;fTLD Registry Services, LLC;generic
bar;Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable;generic
barcelona;Municipi de Barcelona;generic
barclaycard;Barclays Bank PLC;generic
barclays;Barclays Bank PLC;generic
barefoot;Gallo Vineyards, Inc.;generic
bargains;Binky Moon, LLC;generic
baseball;MLB Advanced Media DH, LLC;generic
basketball;Fédération Internationale de Basketball (FIBA);generic
bauhaus;Werkhaus GmbH;generic
bayern;Bayern Connect GmbH;generic
bbc;British Broadcasting Corporation;generic
bbt;BB&T Corporation;generic
bbva;BANCO BILBAO VIZCAYA ARGENTARIA, S.A.;generic
bcg;The Boston Consulting Group, Inc.;generic
bcn;Municipi de Barcelona;generic
beats;Beats Electronics, LLC;generic
beauty;L'Oréal;generic
beer;Top Level Domain Holdings Limited;generic
bentley;Bentley Motors Limited;generic
berlin;dotBERLIN GmbH & Co. KG;generic
best;BestTLD Pty Ltd;generic
bestbuy;BBY Solutions, Inc.;generic
bet;Afilias plc;generic
bharti;Bharti Enterprises (Holding) Private Limited;generic
bible;American Bible Society;generic
bid;dot Bid Limited;generic
bike;Binky Moon, LLC;generic
bing;Microsoft Corporation;generic
bingo;Binky Moon, LLC;generic
bio;STARTING DOT LIMITED;generic
black;Afilias plc;generic
blackfriday;Uniregistry, Corp.;generic
blanco;BLANCO GmbH + Co KG;generic
blockbuster;Dish DBS Corporation;generic
blog;Knock Knock WHOIS There, LLC;generic
bloomberg;Bloomberg IP Holdings LLC;generic
blue;Afilias plc;generic
bms;Bristol-Myers Squibb Company;generic
bmw;Bayerische Motoren Werke Aktiengesellschaft;generic
bnl;Banca Nazionale del Lavoro;generic
bnpparibas;BNP Paribas;generic
boats;DERBoats, LLC;generic
boehringer;Boehringer Ingelheim International GmbH;generic
bofa;Bank of America Corporation;generic
bom;Núcleo de Informação e Coordenação do Ponto BR - NIC.br;generic
bond;Bond University Limited;generic
boo;Charleston Road Registry Inc.;generic
book;Amazon Registry Services, Inc.;generic
booking;Booking.com B.V.;generic
boots;Not assigned;generic
bosch;Robert Bosch GMBH;generic
bostik;Bostik SA;generic
boston;Boston TLD Management, LLC;generic
bot;Amazon Registry Services, Inc.;generic
boutique;Binky Moon, LLC;generic
box;NS1 Limited;generic
bradesco;Banco Bradesco S.A.;generic
bridgestone;Bridgestone Corporation;generic
broadway;Celebrate Broadway, Inc.;generic
broker;DOTBROKER REGISTRY LTD;generic
brother;Brother Industries, Ltd.;generic
brussels;DNS.be vzw;generic
budapest;Top Level Domain Holdings Limited;generic
bugatti;Bugatti International SA;generic
build;Plan Bee LLC;generic
builders;Binky Moon, LLC;generic
business;Binky Moon, LLC;generic
buy;Amazon Registry Services, INC;generic
buzz;DOTSTRATEGY CO.;generic
bzh;Association www.bzh;generic
cab;Binky Moon, LLC;generic
cafe;Binky Moon, LLC;generic
cal;Charleston Road Registry Inc.;generic
call;Amazon Registry Services, Inc.;generic
calvinklein;PVH gTLD Holdings LLC;generic
