aero;Air-transport industry;sponsored
asia;Organisations and individuals in the Asia-Pacific region;sponsored
cat;Catalan;sponsored
coop;Cooperatives;sponsored
edu;Educational establishments;sponsored
gov;US government;sponsored
int;International treaty-based organizations;sponsored
jobs;Employment-related sites;sponsored
mil;US military;sponsored
museum;Museums;sponsored
post;Universal Postal Union;sponsored
tel;Telephone;sponsored
travel;Travel;sponsored
xxx;Adult entertainment;sponsored
